Player,Predicted_3P%,TEAM
Dorian Finney-Smith,0.39415916664251094,LAL
Doug McDermott,0.39341760315335406,SAC
Draymond Green,0.34892488502727725,GSW
Drew Eubanks,0.47872937169772073,LAC
Drew Peterson,0.37584300163287404,BOS
Dru Smith,0.49217931892296995,MIA
Duncan Robinson,0.3922435982293034,MIA
Duop Reath,0.31876238247904765,POR
Dwight Powell,0.06874098471644673,DAL
Dyson Daniels,0.35672013067721026,ATL
E.J. Liddell,0.34953851341273284,CHI
Elfrid Payton,0.0,NOP
Elijah Harkless,0.2927723725285329,UTA
Emanuel Miller,6.218905472636816e-06,CHI
Emoni Bates,0.19181190780805504,CLE
Enrique Freeman,0.31872833110122994,IND
Eric Gordon,0.39011748163483545,PHI
Evan Mobley,0.36020469436923286,CLE
Franz Wagner,0.3683549796659185,ORL
Fred VanVleet,0.345558848096468,HOU
GG Jackson,0.3506013805782554,MEM
Gabe Vincent,0.35810047381924875,LAL
Garrett Temple,0.2373608980423728,TOR
Garrison Mathews,0.3627713145133039,ATL
Gary Harris,0.3215675103777339,ORL
Gary Payton II,0.3233698750685114,GSW
Gary Trent Jr.,0.3938466332113105,MIL
Georges Niang,0.4061990977523535,ATL
Giannis Antetokounmpo,0.1543709301181488,MIL
Goga Bitadze,0.24036707943450586,ORL
Gradey Dick,0.3605189852878453,TOR
Grant Williams,0.37560228893553876,CHA
Grayson Allen,0.3930527269187958,PHX
Guerschon Yabusele,0.3866143842129361,PHI
Gui Santos,0.3807955646087891,GSW
Harrison Barnes,0.4143366675587026,SAS
Harrison Ingram,0.0,SAS
Haywood Highsmith,0.38441053684933996,MIA
Herbert Jones,0.34615601630485765,NOP
Hunter Tyson,0.29440860348788006,DEN
Immanuel Quickley,0.3753469989531246,TOR
Isaac Jones,0.42866515477590966,SAC
Isaac Okoro,0.3774720355021886,CLE
Isaiah Collier,0.2392713735029076,UTA
Isaiah Crawford,0.2376917368006971,SAC
Isaiah Hartenstein,0.10595408874819105,OKC
Isaiah Jackson,0.00017836543485250385,IND
Isaiah Joe,0.3909258495030563,OKC
Isaiah Stewart,0.27608451117522514,DET
Isaiah Wong,0.37100579061453176,CHA
Ivica Zubac,0.12480480110560546,LAC
JD Davison,0.2691962937177188,BOS
JT Thor,0.29274695917156984,WAS
Ja Morant,0.35800093627460927,MEM
Ja'Kobe Walter,0.3249672462467395,TOR
Jabari Smith Jr.,0.37203893838300667,HOU
Jabari Walker,0.39129436844487747,POR
Jack McVeigh,0.4376876426911805,HOU
Jackson Rowe,0.24946465875472917,GSW
Jacob Toppin,0.0,ATL
Jaden Hardy,0.38857955131877986,DAL
Jaden Ivey,0.3875350870056814,DET
Jaden McDaniels,0.378689221861841,MIN
Jaden Springer,0.3528259060225731,UTA
Jae Crowder,0.2553133640837444,SAC
