Player,Predicted_3P,TEAM
Donte DiVincenzo,2.843269390333057,MIN
Dorian Finney-Smith,1.8410496121606692,LAL
Doug McDermott,0.9404405010776311,SAC
Draymond Green,1.1810089484781616,GSW
Drew Eubanks,0.026378352989346873,LAC
Drew Peterson,0.507197473544229,BOS
Dru Smith,1.0829087589490523,MIA
Duncan Robinson,2.5918712059064317,MIA
Duop Reath,0.7355547244196787,POR
Dwight Powell,0.004483459913044048,DAL
Dyson Daniels,1.083223371748475,ATL
E.J. Liddell,0.4161566655641061,CHI
Elfrid Payton,0.0001480998285943116,NOP
Elijah Harkless,0.705680963289228,UTA
Emanuel Miller,-0.0008804354318105565,CHI
Emoni Bates,0.28578479935034123,CLE
Enrique Freeman,0.050349365334323555,IND
Eric Gordon,1.4289804238877724,PHI
Evan Mobley,1.116943270945018,CLE
Franz Wagner,1.7102677723956732,ORL
Fred VanVleet,2.630513636911608,HOU
GG Jackson,1.1983708700769462,MEM
Gabe Vincent,1.4274505900758805,LAL
Garrett Temple,0.20574980936854967,TOR
Garrison Mathews,1.8096829528877376,ATL
Gary Harris,0.6679342190685243,ORL
Gary Payton II,0.5206824622667175,GSW
Gary Trent Jr.,2.3704001752190402,MIL
Georges Niang,1.9303543172954147,ATL
Giannis Antetokounmpo,0.1399339053945165,MIL
Goga Bitadze,0.05905370833899209,ORL
Gradey Dick,2.1122389984983543,TOR
Grant Williams,1.6686758544666644,CHA
Grayson Allen,2.48725683613341,PHX
Guerschon Yabusele,1.4601877352923978,PHI
Gui Santos,0.6666778925383966,GSW
Harrison Barnes,1.7589418836320967,SAS
Harrison Ingram,0.006615608385801578,SAS
Haywood Highsmith,1.1632721558364603,MIA
Herbert Jones,1.085246901948343,NOP
Hunter Tyson,0.415238286697595,DEN
Immanuel Quickley,2.4562936405897102,TOR
Isaac Jones,0.07549540172449051,SAC
Isaac Okoro,1.0042959608930202,CLE
Isaiah Collier,0.5481945182118317,UTA
Isaiah Crawford,0.10084838092205124,SAC
